X,Y,Z,Station,Side,Point_Type
9.810999999999998,-4.010999999999999,57.6,3,windward,curved
9.761125,-3.661125,57.6,3,windward,curved
9.712000000000002,-3.3120000000000003,57.6,3,windward,curved
9.665875000000003,-2.965875000000001,57.6,3,windward,curved
9.625,-2.625,57.6,3,windward,curved
9.591625,-2.291625,57.6,3,windward,curved
9.568000000000001,-1.9680000000000004,57.6,3,windward,curved
9.556375,-1.6563749999999997,57.6,3,windward,curved
9.559,-1.3590000000000002,57.6,3,windward,curved
9.578125,-1.078125,57.6,3,windward,curved
9.616,-0.8159999999999998,57.6,3,windward,curved
9.674875,-0.574875,57.6,3,windward,curved
9.757000000000001,-0.3569999999999999,57.6,3,windward,curved
9.864625,-0.16462500000000016,57.6,3,windward,curved
10.0,0.0,57.6,3,windward,curved
10.0,0.0,57.6,3,windward,panel
10.1,1.6,57.6,3,windward,panel
10.2,3.2,57.6,3,windward,panel
10.3,4.8,57.6,3,windward,panel
10.4,6.4,57.6,3,windward,panel
10.5,8.0,57.6,3,windward,panel
10.6,9.6,57.6,3,windward,panel
10.7,11.2,57.6,3,windward,panel
10.8,12.8,57.6,3,windward,panel
10.9,14.4,57.6,3,windward,panel
11.0,16.0,57.6,3,windward,panel
-10.5,-7.0,76.8,4,leeward,panel
-9.66,-6.3,76.8,4,leeward,panel
-8.82,-5.6,76.8,4,leeward,panel
-7.98,-4.9,76.8,4,leeward,panel
-7.14,-4.199999999999999,76.8,4,leeward,panel
-6.3,-3.5,76.8,4,leeward,panel
-10.5,0.0,76.8,4,leeward,panel
-10.6,1.6,76.8,4,leeward,panel
-10.7,3.2,76.8,4,leeward,panel
-10.8,4.8,76.8,4,leeward,panel
-10.9,6.4,76.8,4,leeward,panel
-11.0,8.0,76.8,4,leeward,panel
-11.1,9.6,76.8,4,leeward,panel
-11.2,11.2,76.8,4,leeward,panel
-11.3,12.8,76.8,4,leeward,panel
-11.4,14.4,76.8,4,leeward,panel
-11.5,16.0,76.8,4,leeward,panel
10.5,-7.0,76.8,4,windward,curved
10.492518749999999,-6.685624999999999,76.8,4,windward,curved
10.471650000000002,-6.345000000000001,76.8,4,windward,curved
10.439756249999999,-5.981875,76.8,4,windward,curved
10.3992,-5.600000000000001,76.8,4,windward,curved
10.35234375,-5.203125,76.8,4,windward,curved
10.301549999999997,-4.794999999999999,76.8,4,windward,curved
10.249181250000001,-4.3793750000000005,76.8,4,windward,curved
10.197600000000001,-3.96,76.8,4,windward,curved
10.149168750000003,-3.5406250000000012,76.8,4,windward,curved
10.10625,-3.125,76.8,4,windward,curved
10.07120625,-2.7168749999999995,76.8,4,windward,curved
10.046400000000002,-2.3200000000000003,76.8,4,windward,curved
10.03419375,-1.9381249999999999,76.8,4,windward,curved
10.036950000000001,-1.5750000000000004,76.8,4,windward,curved
10.057031250000001,-1.234375,76.8,4,windward,curved
10.096800000000002,-0.9199999999999998,76.8,4,windward,curved
10.158618749999999,-0.6356250000000001,76.8,4,windward,curved
10.24485,-0.3849999999999999,76.8,4,windward,curved
10.357856250000001,-0.17187500000000017,76.8,4,windward,curved
10.5,0.0,76.8,4,windward,curved
10.5,0.0,76.8,4,windward,panel
10.6,1.6,76.8,4,windward,panel
10.7,3.2,76.8,4,windward,panel
10.8,4.8,76.8,4,windward,panel
10.9,6.4,76.8,4,windward,panel
11.0,8.0,76.8,4,windward,panel
11.1,9.6,76.8,4,windward,panel
11.2,11.2,76.8,4,windward,panel
11.3,12.8,76.8,4,windward,panel
11.4,14.4,76.8,4,windward,panel
11.5,16.0,76.8,4,windward,panel
-10.0,-7.5,96,5,leeward,panel
-9.2,-6.75,96,5,leeward,panel
-8.4,-6.0,96,5,leeward,panel
-7.6,-5.25,96,5,leeward,panel
-6.799999999999999,-4.5,96,5,leeward,panel
-6.0,-3.75,96,5,leeward,panel
-10.0,0.0,96,5,leeward,panel
-10.2,1.6,96,5,leeward,panel
-10.4,3.2,96,5,leeward,panel
-10.6,4.8,96,5,leeward,panel
-10.8,6.4,96,5,leeward,panel
-11.0,8.0,96,5,leeward,panel
-11.2,9.6,96,5,leeward,panel
-11.4,11.2,96,5,leeward,panel
-11.6,12.8,96,5,leeward,panel
-11.8,14.4,96,5,leeward,panel
-12.0,16.0,96,5,leeward,panel
10.0,-7.5,96,5,windward,curved
9.992875,-7.1819999999999995,96,5,windward,curved
9.973,-6.831000000000001,96,5,windward,curved
9.942624999999998,-6.451499999999999,96,5,windward,curved
9.904000000000003,-6.048000000000002,96,5,windward,curved
9.859375,-5.625,96,5,windward,curved
9.810999999999998,-5.186999999999999,96,5,windward,curved
9.761125,-4.7385,96,5,windward,curved
9.712000000000002,-4.284,96,5,windward,curved
9.665875000000003,-3.828000000000001,96,5,windward,curved
9.625,-3.375,96,5,windward,curved
9.591625,-2.9294999999999995,96,5,windward,curved
9.568000000000001,-2.496,96,5,windward,curved
9.556375,-2.0789999999999997,96,5,windward,curved
9.559,-1.6830000000000003,96,5,windward,curved
9.578125,-1.3125,96,5,windward,curved
9.616,-0.9719999999999998,96,5,windward,curved
9.674875,-0.6660000000000001,96,5,windward,curved
9.757000000000001,-0.3989999999999999,96,5,windward,curved
9.864625,-0.17550000000000018,96,5,windward,curved
10.0,0.0,96,5,windward,curved
10.0,0.0,96,5,windward,panel
10.2,1.6,96,5,windward,panel
10.4,3.2,96,5,windward,panel
10.6,4.8,96,5,windward,panel
10.8,6.4,96,5,windward,panel
11.0,8.0,96,5,windward,panel
11.2,9.6,96,5,windward,panel
11.4,11.2,96,5,windward,panel
11.6,12.8,96,5,windward,panel
11.8,14.4,96,5,windward,panel
12.0,16.0,96,5,windward,panel
-10.5,-8.0,115.2,6,leeward,panel
-9.66,-7.2,115.2,6,leeward,panel
-8.82,-6.4,115.2,6,leeward,panel
-7.98,-5.6,115.2,6,leeward,panel
-7.14,-4.8,115.2,6,leeward,panel
-6.3,-4.0,115.2,6,leeward,panel
-10.5,0.0,115.2,6,leeward,panel
-10.6,1.6,115.2,6,leeward,panel
-10.7,3.2,115.2,6,leeward,panel
-10.8,4.8,115.2,6,leeward,panel
-10.9,6.4,115.2,6,leeward,panel
-11.0,8.0,115.2,6,leeward,panel
-11.1,9.6,115.2,6,leeward,panel
-11.2,11.2,115.2,6,leeward,panel
-11.3,12.8,115.2,6,leeward,panel
-11.4,14.4,115.2,6,leeward,panel
-11.5,16.0,115.2,6,leeward,panel
10.5,-8.0,115.2,6,windward,curved
10.492518749999999,-7.678374999999999,115.2,6,windward,curved
10.471650000000002,-7.317000000000001,115.2,6,windward,curved
10.439756249999999,-6.921125,115.2,6,windward,curved
10.3992,-6.496000000000002,115.2,6,windward,curved
10.35234375,-6.046875,115.2,6,windward,curved
10.301549999999997,-5.578999999999999,115.2,6,windward,curved
10.249181250000001,-5.097625000000001,115.2,6,windward,curved
10.197600000000001,-4.6080000000000005,115.2,6,windward,curved
10.149168750000003,-4.115375000000001,115.2,6,windward,curved
10.10625,-3.625,115.2,6,windward,curved
10.07120625,-3.1421249999999996,115.2,6,windward,curved
10.046400000000002,-2.672,115.2,6,windward,curved
10.03419375,-2.219875,115.2,6,windward,curved
10.036950000000001,-1.7910000000000004,115.2,6,windward,curved
10.057031250000001,-1.390625,115.2,6,windward,curved
10.096800000000002,-1.0239999999999996,115.2,6,windward,curved
10.158618749999999,-0.6963750000000002,115.2,6,windward,curved
10.24485,-0.4129999999999999,115.2,6,windward,curved
10.357856250000001,-0.17912500000000017,115.2,6,windward,curved
10.5,0.0,115.2,6,windward,curved
10.5,0.0,115.2,6,windward,panel
10.6,1.6,115.2,6,windward,panel
10.7,3.2,115.2,6,windward,panel
10.8,4.8,115.2,6,windward,panel
10.9,6.4,115.2,6,windward,panel
11.0,8.0,115.2,6,windward,panel
11.1,9.6,115.2,6,windward,panel
11.2,11.2,115.2,6,windward,panel
11.3,12.8,115.2,6,windward,panel
11.4,14.4,115.2,6,windward,panel
11.5,16.0,115.2,6,windward,panel
-10.0,-7.5,134.4,7,leeward,panel
-9.2,-6.75,134.4,7,leeward,panel
-8.4,-6.0,134.4,7,leeward,panel
-7.6,-5.25,134.4,7,leeward,panel
-6.799999999999999,-4.5,134.4,7,leeward,panel
-6.0,-3.75,134.4,7,leeward,panel
-10.0,0.0,134.4,7,leeward,panel
-10.1,1.6,134.4,7,leeward,panel
-10.2,3.2,134.4,7,leeward,panel
-10.3,4.8,134.4,7,leeward,panel
-10.4,6.4,134.4,7,leeward,panel
-10.5,8.0,134.4,7,leeward,panel
-10.6,9.6,134.4,7,leeward,panel
-10.7,11.2,134.4,7,leeward,panel
-10.8,12.8,134.4,7,leeward,panel
-10.9,14.4,134.4,7,leeward,panel
-11.0,16.0,134.4,7,leeward,panel
10.0,-7.5,134.4,7,windward,curved
9.992875,-7.1819999999999995,134.4,7,windward,curved
9.973,-6.831000000000001,134.4,7,windward,curved
9.942624999999998,-6.451499999999999,134.4,7,windward,curved
9.904000000000003,-6.048000000000002,134.4,7,windward,curved
9.859375,-5.625,134.4,7,windward,curved
9.810999999999998,-5.186999999999999,134.4,7,windward,curved
9.761125,-4.7385,134.4,7,windward,curved
9.712000000000002,-4.284,134.4,7,windward,curved
9.665875000000003,-3.828000000000001,134.4,7,windward,curved
9.625,-3.375,134.4,7,windward,curved
9.591625,-2.9294999999999995,134.4,7,windward,curved
9.568000000000001,-2.496,134.4,7,windward,curved
9.556375,-2.0789999999999997,134.4,7,windward,curved
9.559,-1.6830000000000003,134.4,7,windward,curved
9.578125,-1.3125,134.4,7,windward,curved
9.616,-0.9719999999999998,134.4,7,windward,curved
9.674875,-0.6660000000000001,134.4,7,windward,curved
9.757000000000001,-0.3989999999999999,134.4,7,windward,curved
9.864625,-0.17550000000000018,134.4,7,windward,curved
10.0,0.0,134.4,7,windward,curved
10.0,0.0,134.4,7,windward,panel
10.1,1.6,134.4,7,windward,panel
10.2,3.2,134.4,7,windward,panel
10.3,4.8,134.4,7,windward,panel
10.4,6.4,134.4,7,windward,panel
10.5,8.0,134.4,7,windward,panel
10.6,9.6,134.4,7,windward,panel
10.7,11.2,134.4,7,windward,panel
10.8,12.8,134.4,7,windward,panel
10.9,14.4,134.4,7,windward,panel
11.0,16.0,134.4,7,windward,panel
-8.5,-7.0,153.6,8,leeward,panel
-7.819999999999999,-6.4,153.6,8,leeward,panel
-7.14,-5.8,153.6,8,leeward,panel
-6.46,-5.2,153.6,8,leeward,panel
-5.779999999999999,-4.6,153.6,8,leeward,panel
-5.1,-4.0,153.6,8,leeward,panel
-8.5,-1.0,153.6,8,leeward,panel
-8.55,0.6000000000000001,153.6,8,leeward,panel
-8.6,2.2,153.6,8,leeward,panel
-8.65,3.8,153.6,8,leeward,panel
-8.7,5.4,153.6,8,leeward,panel
-8.75,7.0,153.6,8,leeward,panel
-8.8,8.6,153.6,8,leeward,panel
-8.85,10.2,153.6,8,leeward,panel
-8.9,11.8,153.6,8,leeward,panel
-8.95,13.4,153.6,8,leeward,panel
-9.0,15.0,153.6,8,leeward,panel
8.5,-7.0,153.6,8,windward,curved
8.493943749999998,-6.692874999999998,153.6,8,windward,curved
8.47705,-6.373000000000001,153.6,8,windward,curved
8.451231249999998,-6.042624999999999,153.6,8,windward,curved
8.418400000000002,-5.7040000000000015,153.6,8,windward,curved
8.38046875,-5.359375,153.6,8,windward,curved
8.339349999999998,-5.010999999999999,153.6,8,windward,curved
8.29695625,-4.661125,153.6,8,windward,curved
8.255200000000002,-4.311999999999999,153.6,8,windward,curved
8.215993750000003,-3.965875000000001,153.6,8,windward,curved
8.18125,-3.625,153.6,8,windward,curved
8.15288125,-3.2916249999999994,153.6,8,windward,curved
8.132800000000001,-2.968000000000001,153.6,8,windward,curved
8.12291875,-2.6563749999999997,153.6,8,windward,curved
8.12515,-2.3590000000000004,153.6,8,windward,curved
8.14140625,-2.078125,153.6,8,windward,curved
8.1736,-1.8159999999999998,153.6,8,windward,curved
8.223643749999999,-1.574875,153.6,8,windward,curved
8.29345,-1.357,153.6,8,windward,curved
8.38493125,-1.164625,153.6,8,windward,curved
8.5,-1.0,153.6,8,windward,curved
8.5,-1.0,153.6,8,windward,panel
8.55,0.6000000000000001,153.6,8,windward,panel
8.6,2.2,153.6,8,windward,panel
8.65,3.8,153.6,8,windward,panel
8.7,5.4,153.6,8,windward,panel
8.75,7.0,153.6,8,windward,panel
8.8,8.6,153.6,8,windward,panel
8.85,10.2,153.6,8,windward,panel
8.9,11.8,153.6,8,windward,panel
8.95,13.4,153.6,8,windward,panel
9.0,15.0,153.6,8,windward,panel
-5.5,-6.0,172.8,9,leeward,panel
-5.06,-5.6,172.8,9,leeward,panel
-4.62,-5.2,172.8,9,leeward,panel
-4.18,-4.8,172.8,9,leeward,panel
-3.7399999999999998,-4.4,172.8,9,leeward,panel
-3.3,-4.0,172.8,9,leeward,panel
-5.5,-2.0,172.8,9,leeward,panel
-5.55,-0.3999999999999999,172.8,9,leeward,panel
-5.6,1.2000000000000002,172.8,9,leeward,panel
-5.65,2.8,172.8,9,leeward,panel
-5.7,4.4,172.8,9,leeward,panel
-5.75,6.0,172.8,9,leeward,panel
-5.8,7.6,172.8,9,leeward,panel
-5.85,9.2,172.8,9,leeward,panel
-5.9,10.8,172.8,9,leeward,panel
-5.95,12.4,172.8,9,leeward,panel
-6.0,14.0,172.8,9,leeward,panel
5.5,-6.0,172.8,9,windward,curved
5.496081249999999,-5.707375,172.8,9,windward,curved
5.485150000000001,-5.429000000000001,172.8,9,windward,curved
5.468443749999999,-5.164124999999999,172.8,9,windward,curved
5.4472000000000005,-4.912000000000002,172.8,9,windward,curved
5.42265625,-4.671875,172.8,9,windward,curved
5.39605,-4.443,172.8,9,windward,curved
5.3686187499999996,-4.2246250000000005,172.8,9,windward,curved
5.341600000000001,-4.016,172.8,9,windward,curved
5.316231250000001,-3.8163750000000007,172.8,9,windward,curved
5.29375,-3.625,172.8,9,windward,curved
5.27539375,-3.4411250000000004,172.8,9,windward,curved
5.2624,-3.2640000000000007,172.8,9,windward,curved
5.25600625,-3.0928749999999994,172.8,9,windward,curved
5.2574499999999995,-2.927,172.8,9,windward,curved
5.26796875,-2.765625,172.8,9,windward,curved
5.2888,-2.6080000000000005,172.8,9,windward,curved
5.3211812499999995,-2.453375,172.8,9,windward,curved
5.366350000000001,-2.301,172.8,9,windward,curved
5.425543749999999,-2.150125,172.8,9,windward,curved
5.5,-2.0,172.8,9,windward,curved
5.5,-2.0,172.8,9,windward,panel
5.55,-0.3999999999999999,172.8,9,windward,panel
5.6,1.2000000000000002,172.8,9,windward,panel
5.65,2.8,172.8,9,windward,panel
5.7,4.4,172.8,9,windward,panel
5.75,6.0,172.8,9,windward,panel
5.8,7.6,172.8,9,windward,panel
5.85,9.2,172.8,9,windward,panel
5.9,10.8,172.8,9,windward,panel
5.95,12.4,172.8,9,windward,panel
6.0,14.0,172.8,9,windward,panel
0,12,192,10,centerline,sheer
0,-2,192,10,centerline,keel
